batch_size,B,pld_epsilon,rdp_epsilon,source_run_id,source_commit_sha,source_line,n,d,communication_C,epochs,delta,global_sigma,q,rounds,t,k,reference_rdp_epsilon,reference_rdp_abs_error,rdp_optimal_order,rdp_remove_alpha2,rdp_alpha2_closed_form,rdp_alpha2_abs_error,relative_improvement,max_grid_mult,reference_rdp_matches_rounded_log
4096,16,1.80246,2.3874,342daf11-a0f8-4fd0-81ed-3747c07fcf3e,6f5a5af00841af3292ab8c5d2b16c09522760a27,"PREAMBLE batch=4096 B=16: PLD eps=1.80246, RDP eps=2.3874",600000,1048576,32768,10,1e-06,1.0,0.006826666666666667,1470,65536,2048,2.387395185407603,4.814592396762407e-06,8,1.0486340007737454,1.0486340007738462,1.0080825063596421e-13,0.24501130937421464,1000000,True
4096,32,1.81285,2.41258,342daf11-a0f8-4fd0-81ed-3747c07fcf3e,6f5a5af00841af3292ab8c5d2b16c09522760a27,"PREAMBLE batch=4096 B=32: PLD eps=1.81285, RDP eps=2.41258",600000,1048576,32768,10,1e-06,1.0,0.006826666666666667,1470,32768,1024,2.4125762394303027,3.760569697419669e-06,8,1.0569521266961601,1.0569521266966189,4.587441537751147e-13,0.24858450289731326,1000000,True
4096,64,1.84162,2.47155,342daf11-a0f8-4fd0-81ed-3747c07fcf3e,6f5a5af00841af3292ab8c5d2b16c09522760a27,"PREAMBLE batch=4096 B=64: PLD eps=1.84162, RDP eps=2.47155",600000,1048576,32768,10,1e-06,1.0,0.006826666666666667,1470,16384,512,2.471554219676281,4.219676280836637e-06,8,1.0738443564500812,1.073844356449883,1.9828583219805296e-13,0.2548724484635148,1000000,True
4096,128,1.90785,2.58522,342daf11-a0f8-4fd0-81ed-3747c07fcf3e,6f5a5af00841af3292ab8c5d2b16c09522760a27,"PREAMBLE batch=4096 B=128: PLD eps=1.90785, RDP eps=2.58522",600000,1048576,32768,10,1e-06,1.0,0.006826666666666667,1470,8192,256,2.585221188052474,1.1880524737328813e-06,7,1.1086784214842282,1.1086784214841539,7.438494264988549e-14,0.26201638545268874,1000000,True
4096,256,2.0611,2.7832,342daf11-a0f8-4fd0-81ed-3747c07fcf3e,6f5a5af00841af3292ab8c5d2b16c09522760a27,"PREAMBLE batch=4096 B=256: PLD eps=2.0611, RDP eps=2.7832",600000,1048576,32768,10,1e-06,1.0,0.006826666666666667,1470,4096,128,2.7832015278840925,1.5278840925780912e-06,7,1.1827577591393492,1.182757759139365,1.5765166949677223e-14,0.2594495544696751,1000000,True
4096,512,2.46074,3.36588,342daf11-a0f8-4fd0-81ed-3747c07fcf3e,6f5a5af00841af3292ab8c5d2b16c09522760a27,"PREAMBLE batch=4096 B=512: PLD eps=2.46074, RDP eps=3.36588",600000,1048576,32768,10,1e-06,1.0,0.006826666666666667,1470,2048,64,3.365882176803343,2.176803342912592e-06,6,1.350381127447804,1.3503811274478188,1.4876988529977098e-14,0.268916301234744,1000000,True
4096,1024,3.84413,5.26552,342daf11-a0f8-4fd0-81ed-3747c07fcf3e,6f5a5af00841af3292ab8c5d2b16c09522760a27,"PREAMBLE batch=4096 B=1024: PLD eps=3.84413, RDP eps=5.26552",600000,1048576,32768,10,1e-06,1.0,0.006826666666666667,1470,1024,32,5.265524575066023,4.575066022916019e-06,4,1.7799166107099325,1.7799166107099242,8.215650382226158e-15,0.2699429496042177,1000000,True
4096,2048,9.9243,13.9903,342daf11-a0f8-4fd0-81ed-3747c07fcf3e,6f5a5af00841af3292ab8c5d2b16c09522760a27,"PREAMBLE batch=4096 B=2048: PLD eps=9.9243, RDP eps=13.9903",600000,1048576,32768,10,1e-06,1.0,0.006826666666666667,1470,512,16,13.99032499287293,2.499287293034058e-05,2,3.169672830953587,3.1696728309535933,6.217248937900877e-15,0.290629936455973,1000000,True
600000,4,20.2963,21.5897,80367c37-1c07-4d4b-afe2-4a99eb7a9c30,5cf09b8e65bfb0e5d7c66aad5338af7847ddf48d,"PREAMBLE batch=600000 B=4: PLD eps=20.2963, RDP eps=21.5897",600000,1048576,32768,10,1e-06,1.0,1.0,10,262144,8192,21.589746576669707,4.6576669706865914e-05,3,1.0424506622803165,1.0424506622795375,7.789324740770098e-13,0.059908196964293246,1000000,True
600000,8,20.2442,21.6206,80367c37-1c07-4d4b-afe2-4a99eb7a9c30,5cf09b8e65bfb0e5d7c66aad5338af7847ddf48d,"PREAMBLE batch=600000 B=8: PLD eps=20.2442, RDP eps=21.6206",600000,1048576,32768,10,1e-06,1.0,1.0,10,131072,4096,21.6205926590423,7.340957701273965e-06,3,1.044506540569273,1.0445065405691443,1.2878587085651816e-13,0.06366150800625331,1000000,True
600000,16,20.1518,21.6825,80367c37-1c07-4d4b-afe2-4a99eb7a9c30,5cf09b8e65bfb0e5d7c66aad5338af7847ddf48d,"PREAMBLE batch=600000 B=16: PLD eps=20.1518, RDP eps=21.6825",600000,1048576,32768,10,1e-06,1.0,1.0,10,65536,2048,21.68253661857801,3.661857800807411e-05,3,1.0486340007737454,1.0486340007738462,1.0080825063596421e-13,0.0705961028479188,1000000,True
600000,32,20.2159,21.8074,80367c37-1c07-4d4b-afe2-4a99eb7a9c30,5cf09b8e65bfb0e5d7c66aad5338af7847ddf48d,"PREAMBLE batch=600000 B=32: PLD eps=20.2159, RDP eps=21.8074",600000,1048576,32768,10,1e-06,1.0,1.0,10,32768,1024,21.807440198095204,4.019809520272588e-05,3,1.0569521266961601,1.0569521266966189,4.587441537751147e-13,0.07297981419151296,1000000,True
600000,64,20.3957,22.0614,80367c37-1c07-4d4b-afe2-4a99eb7a9c30,5cf09b8e65bfb0e5d7c66aad5338af7847ddf48d,"PREAMBLE batch=600000 B=64: PLD eps=20.3957, RDP eps=22.0614",600000,1048576,32768,10,1e-06,1.0,1.0,10,16384,512,22.06137925026763,2.074973236787514e-05,3,1.0738443564500812,1.073844356449883,1.9828583219805296e-13,0.07550291459290877,1000000,True
600000,128,20.7998,22.5864,80367c37-1c07-4d4b-afe2-4a99eb7a9c30,5cf09b8e65bfb0e5d7c66aad5338af7847ddf48d,"PREAMBLE batch=600000 B=128: PLD eps=20.7998, RDP eps=22.5864",600000,1048576,32768,10,1e-06,1.0,1.0,10,8192,256,22.586362543832305,3.7456167696348075e-05,3,1.1086784214842282,1.1086784214841539,7.438494264988549e-14,0.07910069776502673,1000000,True
600000,256,21.6742,23.7098,80367c37-1c07-4d4b-afe2-4a99eb7a9c30,5cf09b8e65bfb0e5d7c66aad5338af7847ddf48d,"PREAMBLE batch=600000 B=256: PLD eps=21.6742, RDP eps=23.7098",600000,1048576,32768,10,1e-06,1.0,1.0,10,4096,128,23.70978798789491,1.2012105091940839e-05,3,1.1827577591393492,1.182757759139365,1.5765166949677223e-14,0.08585479422011161,1000000,True
600000,512,23.6222,25.933,80367c37-1c07-4d4b-afe2-4a99eb7a9c30,5cf09b8e65bfb0e5d7c66aad5338af7847ddf48d,"PREAMBLE batch=600000 B=512: PLD eps=23.6222, RDP eps=25.933",600000,1048576,32768,10,1e-06,1.0,1.0,10,2048,64,25.933027471322422,2.7471322422201183e-05,2,1.350381127447804,1.3503811274478188,1.4876988529977098e-14,0.08910654378590986,1000000,True
600000,1024,28.3403,30.2284,80367c37-1c07-4d4b-afe2-4a99eb7a9c30,5cf09b8e65bfb0e5d7c66aad5338af7847ddf48d,"PREAMBLE batch=600000 B=1024: PLD eps=28.3403, RDP eps=30.2284",600000,1048576,32768,10,1e-06,1.0,1.0,10,1024,32,30.228382303943707,1.769605629320381e-05,2,1.7799166107099325,1.7799166107099242,8.215650382226158e-15,0.062461129269164146,1000000,True
600000,2048,40.9191,44.1259,80367c37-1c07-4d4b-afe2-4a99eb7a9c30,5cf09b8e65bfb0e5d7c66aad5338af7847ddf48d,"PREAMBLE batch=600000 B=2048: PLD eps=40.9191, RDP eps=44.1259",600000,1048576,32768,10,1e-06,1.0,1.0,10,512,16,44.12594450638025,4.450638024877662e-05,2,3.169672830953587,3.1696728309535933,6.217248937900877e-15,0.07267387180771386,1000000,True
